algorithm, isolates, dead ends, degree 2, degree 3, degree 4, degree sum, cells, edges, arcs, diameter
Aldous/Broder, 0.000, 207.800, 324.110, 158.380, 23.710, 1426.000, 714.000, 713.000, 0.000, 134.080
std deviation, 0.000, 6.854, 11.851, 7.175, 4.162, 0.000, 0.000, 0.000, 0.000, 20.598
Binary Tree/Simple, 0.000, 178.850, 358.300, 176.850, 0.000, 1426.000, 714.000, 713.000, 0.000, 94.800
std deviation, 0.000, 6.467, 12.935, 6.467, 0.000, 0.000, 0.000, 0.000, 0.000, 4.537
Breadth-first search, 0.000, 59.890, 598.710, 52.910, 2.490, 1426.000, 714.000, 713.000, 0.000, 72.330
std deviation, 0.000, 13.383, 26.333, 12.759, 1.493, 0.000, 0.000, 0.000, 0.000, 7.742
Breadth-first forest/2 tasks, 0.000, 85.930, 548.800, 74.610, 4.660, 1426.000, 714.000, 713.000, 0.000, 85.370
std deviation, 0.000, 11.486, 22.279, 10.469, 1.733, 0.000, 0.000, 0.000, 0.000, 14.573
Breadth-first forest/3 tasks, 0.000, 102.110, 519.500, 84.670, 7.720, 1426.000, 714.000, 713.000, 0.000, 94.350
std deviation, 0.000, 12.323, 23.885, 11.637, 2.616, 0.000, 0.000, 0.000, 0.000, 17.119
Depth-first search, 0.000, 74.420, 568.320, 70.100, 1.160, 1426.000, 714.000, 713.000, 0.000, 375.930
std deviation, 0.000, 5.171, 10.229, 5.279, 1.074, 0.000, 0.000, 0.000, 0.000, 40.689
Depth-first forest/2 tasks, 0.000, 75.330, 566.610, 70.790, 1.270, 1426.000, 714.000, 713.000, 0.000, 338.450
std deviation, 0.000, 5.004, 9.726, 4.740, 0.999, 0.000, 0.000, 0.000, 0.000, 45.714
Depth-first forest/3 tasks, 0.000, 75.490, 566.280, 70.970, 1.260, 1426.000, 714.000, 713.000, 0.000, 316.340
std deviation, 0.000, 5.495, 10.911, 5.581, 0.945, 0.000, 0.000, 0.000, 0.000, 47.580
Eller, 0.000, 205.440, 329.010, 155.660, 23.890, 1426.000, 714.000, 713.000, 0.000, 130.490
std deviation, 0.000, 7.427, 13.143, 8.173, 4.456, 0.000, 0.000, 0.000, 0.000, 17.496
Houston, 0.000, 211.610, 317.840, 159.490, 25.060, 1426.000, 714.000, 713.000, 0.000, 129.300
std deviation, 0.000, 7.302, 12.976, 8.286, 4.481, 0.000, 0.000, 0.000, 0.000, 19.722
Hunt & Kill, 0.000, 81.470, 555.570, 74.450, 2.510, 1426.000, 714.000, 713.000, 0.000, 212.700
std deviation, 0.000, 5.825, 11.445, 6.001, 1.507, 0.000, 0.000, 0.000, 0.000, 32.619
Inwinder, 0.000, 210.920, 319.400, 158.440, 25.240, 1426.000, 714.000, 713.000, 0.000, 63.640
std deviation, 0.000, 7.341, 13.751, 8.475, 3.847, 0.000, 0.000, 0.000, 0.000, 3.732
Kruskal, 0.000, 216.870, 310.430, 158.530, 28.170, 1426.000, 714.000, 713.000, 0.000, 120.450
std deviation, 0.000, 7.664, 14.658, 8.951, 3.718, 0.000, 0.000, 0.000, 0.000, 16.614
MT Randon Walk/2 tasks, 0.000, 211.270, 319.110, 157.970, 25.650, 1426.000, 714.000, 713.000, 0.000, 130.870
std deviation, 0.000, 7.824, 13.855, 8.449, 4.586, 0.000, 0.000, 0.000, 0.000, 19.370
MT Random Walk/3 tasks, 0.000, 212.990, 315.250, 160.530, 25.230, 1426.000, 714.000, 713.000, 0.000, 133.730
std deviation, 0.000, 7.785, 13.476, 8.017, 4.636, 0.000, 0.000, 0.000, 0.000, 20.046
Outward Eller, 0.000, 204.250, 329.570, 158.110, 22.070, 1426.000, 714.000, 713.000, 0.000, 168.490
std deviation, 0.000, 7.283, 13.096, 8.221, 4.290, 0.000, 0.000, 0.000, 0.000, 16.694
Outwinder, 0.000, 195.520, 338.510, 166.420, 13.550, 1426.000, 714.000, 713.000, 0.000, 128.750
std deviation, 0.000, 6.992, 13.068, 7.213, 3.051, 0.000, 0.000, 0.000, 0.000, 6.731
Prim, 0.000, 216.150, 310.890, 159.770, 27.190, 1426.000, 714.000, 713.000, 0.000, 120.990
std deviation, 0.000, 7.624, 13.522, 9.070, 4.959, 0.000, 0.000, 0.000, 0.000, 16.588
Prim/Vertex, 0.000, 316.240, 159.480, 162.320, 75.960, 1426.000, 714.000, 713.000, 0.000, 104.180
std deviation, 0.000, 5.906, 9.970, 9.095, 5.415, 0.000, 0.000, 0.000, 0.000, 13.857
Prim/Simplified, 0.000, 197.560, 339.150, 159.020, 18.270, 1426.000, 714.000, 713.000, 0.000, 79.210
std deviation, 0.000, 7.840, 14.207, 7.620, 3.679, 0.000, 0.000, 0.000, 0.000, 11.331
Recursive Division, 0.000, 195.460, 344.320, 154.980, 19.240, 1426.000, 714.000, 713.000, 0.000, 147.320
std deviation, 0.000, 7.881, 14.331, 8.323, 4.092, 0.000, 0.000, 0.000, 0.000, 23.506
Sidewinder, 0.000, 195.800, 342.070, 158.460, 17.670, 1426.000, 714.000, 713.000, 0.000, 102.950
std deviation, 0.000, 6.806, 12.489, 7.509, 3.622, 0.000, 0.000, 0.000, 0.000, 7.076
Wilson, 0.000, 208.440, 323.410, 157.860, 24.290, 1426.000, 714.000, 713.000, 0.000, 133.160
std deviation, 0.000, 7.250, 12.593, 7.336, 4.201, 0.000, 0.000, 0.000, 0.000, 18.288
